  Built-in function ,  CoefficientREasy ,  02/22/2006 ,  12:57  
  Built-in function ,  Combination ,  02/22/2006 ,  12:58  
  Built-in function ,  CopyArray ,  05/26/2011 ,  14:10  
  Built-in function ,  CopyColumn ,  01/26/2007 ,  14:26  
  Built-in function ,  Correlation ,  02/22/2006 ,  12:59  
  Built-in function ,  CorrelationArray ,  02/22/2006 ,  13:00  
  Built-in function ,  CountIf ,  02/22/2006 ,  13:00  
  Built-in function ,  Covar ,  06/14/2017 ,  15:14  
  Built-in function ,  CovarArray ,  06/14/2017 ,  15:15  
  Built-in function ,  CovarEasy ,  06/14/2017 ,  15:15  
  Built-in function ,  CSI ,  02/22/2006 ,  13:02  
  Built-in function ,  Cum ,  02/22/2006 ,  13:02  
  Built-in function ,  CurrentAsk ,  06/23/2015 ,  12:06  
  Built-in function ,  CurrentBid ,  06/23/2015 ,  12:05  
  Built-in function ,  CurrentSession ,  07/19/2012 ,  19:10  
  Built-in function ,  CurrentSessionMS ,  07/19/2012 ,  19:12  
  Built-in function ,  DailyLosers ,  02/22/2006 ,  13:46  
  Built-in function ,  DailyWinners ,  02/22/2006 ,  13:47  
  Built-in function ,  DaysToExpiration ,  02/22/2006 ,  13:54  
  Built-in function ,  DEMA ,  12/04/2013 ,  11:37  
  Built-in function ,  Detrend ,  02/22/2006 ,  13:55  
  Built-in function ,  DevSqrd ,  02/22/2006 ,  13:56  
  Built-in function ,  DevSqrdArray ,  02/22/2006 ,  13:58  
  Built-in function ,  DirMovement ,  02/22/2006 ,  13:58  
  Built-in function ,  Disparity ,  05/02/2014 ,  09:20  
  Built-in function ,  Divergence ,  02/22/2006 ,  13:59  
  Built-in function ,  DMI ,  02/22/2006 ,  13:59  
  Built-in function ,  DMICustom ,  02/22/2006 ,  14:00  
  Built-in function ,  DMIMinus ,  02/22/2006 ,  14:00  
  Built-in function ,  DMIMinusCustom ,  02/22/2006 ,  14:01  
  Built-in function ,  DMIPlus ,  02/22/2006 ,  14:01  
  Built-in function ,  DMIPlusCustom ,  02/22/2006 ,  14:02  
  Built-in function ,  DownColorDefault ,  02/26/2016 ,  09:10  
  Built-in function ,  EaseOfMovement ,  06/18/2009 ,  14:52  
  Built-in function ,  ELDate ,  02/08/2003 ,  13:37  
  Built-in function ,  ELDate_Consol ,  02/05/2008 ,  17:09  
  Built-in function ,  EntriesToday ,  02/08/2003 ,  20:22  
  Built-in function ,  ExitsToday ,  02/08/2003 ,  20:22  
  Built-in function ,  ExtremePriceRatio ,  02/22/2006 ,  14:04  
  Built-in function ,  Extremes ,  02/22/2006 ,  14:05  
  Built-in function ,  ExtremesArray ,  02/22/2006 ,  14:12  
  Built-in function ,  ExtremesFC ,  02/22/2006 ,  14:13  
  Built-in function ,  Factorial ,  02/22/2006 ,  14:13  
  Built-in function ,  FAMA ,  03/21/2013 ,  13:29  
  Built-in function ,  FastD ,  02/22/2006 ,  14:14  
  Built-in function ,  FastDCustom ,  02/22/2006 ,  14:14  
  Built-in function ,  FastDCustomOrig ,  02/22/2006 ,  14:15  
  Built-in function ,  FastHighestBar ,  02/22/2006 ,  14:15  
  Built-in function ,  FastK ,  02/22/2006 ,  14:15  
  Built-in function ,  FastKCustom ,  02/22/2006 ,  14:16  
  Built-in function ,  FastKCustomEasy ,  02/22/2006 ,  14:18  
  Built-in function ,  FastKCustomOrig ,  02/22/2006 ,  14:18  
  Built-in function ,  FastLowestBar ,  02/22/2006 ,  14:19  
  Built-in function ,  FindBar ,  06/14/2017 ,  15:17  
  Built-in function ,  FirstSession ,  02/22/2006 ,  14:20  
  Built-in function ,  FirstSessionMS ,  02/22/2006 ,  14:22  
  Built-in function ,  Fisher ,  02/22/2006 ,  14:23  
  Built-in function ,  FisherInv ,  02/22/2006 ,  14:23  
  Built-in function ,  FundBoolean ,  08/30/2012 ,  17:26  
  Built-in function ,  FundDate ,  01/26/2007 ,  14:42  
  Built-in function ,  FundPeriodEndDate ,  01/26/2007 ,  14:42  
  Built-in function ,  FundSetup ,  06/14/2017 ,  15:17  
  Built-in function ,  FundString ,  01/26/2007 ,  14:45  
  Built-in function ,  FundValue ,  01/26/2007 ,  14:46  
  Built-in function ,  FundValueTTM ,  03/27/2007 ,  17:14  
  Built-in function ,  GetRGBValues ,  02/22/2006 ,  14:28  
  Built-in function ,  HarmonicMean ,  02/22/2006 ,  14:28  
  Built-in function ,  HarmonicMeanArray ,  02/22/2006 ,  14:29  
  Built-in function ,  HeapPush ,  06/14/2017 ,  15:18  
  Built-in function ,  HeapPush2D ,  06/14/2017 ,  15:18  
  Built-in function ,  HeapSift ,  02/22/2006 ,  14:30  
  Built-in function ,  HeapSift2D ,  02/22/2006 ,  14:31  
  Built-in function ,  HighD ,  06/18/2009 ,  15:14  
  Built-in function ,  Highest ,  02/22/2006 ,  14:32  
  Built-in function ,  HighestArray ,  02/22/2006 ,  14:33  
  Built-in function ,  HighestBar ,  02/22/2006 ,  14:34  
  Built-in function ,  HighestFC ,  02/22/2006 ,  14:43  
  Built-in function ,  HighM ,  06/18/2009 ,  15:14  
  Built-in function ,  HighSession ,  06/14/2017 ,  15:19  
  Built-in function ,  HighW ,  06/18/2009 ,  15:14  
  Built-in function ,  HighY ,  06/18/2009 ,  15:15  
  Built-in function ,  HMA ,  06/14/2017 ,  15:19  
  Built-in function ,  HPI ,  06/17/2009 ,  11:11  
  Built-in function ,  IFF ,  02/22/2006 ,  14:45  
  Built-in function ,  InfoBox ,  01/19/2018 ,  11:01  
  Built-in function ,  InsideBar ,  03/21/2013 ,  12:56  
  Built-in function ,  KeltnerChannel ,  02/22/2006 ,  14:47  
  Built-in function ,  Kurtosis ,  02/22/2006 ,  14:47  
  Built-in function ,  KurtosisArray ,  02/22/2006 ,  15:03  
  Built-in function ,  KurtosisOpt ,  02/22/2006 ,  15:04  
  Built-in function ,  LastBarOnChartEx ,  10/18/2012 ,  13:52  
  Built-in function ,  LastCalcDate ,  02/22/2006 ,  15:05  
  Built-in function ,  LastCalcTime ,  02/22/2006 ,  15:05  
  Built-in function ,  LastDayOfMonth ,  02/22/2006 ,  15:06  
  Built-in function ,  LastSession ,  02/22/2006 ,  15:07  
  Built-in function ,  LastSessionMS ,  02/22/2006 ,  15:07  
  Built-in function ,  Leader ,  02/22/2006 ,  15:08  
  Built-in function ,  LimitIfTouchedOrder ,  09/12/2006 ,  13:27  
  Built-in function ,  LimitOrder ,  09/12/2006 ,  13:27  
  Built-in function ,  LinearReg ,  06/23/2015 ,  12:04  
