====7:00 AM CT:====
SPXS (E) NYSEARCA
SPXU (E)
SPXL (L) NYSEARCA
SQQQ (E)
TQQQ (E)
UPRO (E)
VXX (E)

ARCA, NSDQ, NYSE, EDGA, EDGX

Time with Second:	  15.00	--	4/6/2020 7:00:15 AM
--Date--	-Time	Symbol	HighD	LowD	[VolOp]	SpdD	[PtChg	PtSpd	RocMa]	Price	 [Shr] 	20% 	 30% 	 45%
--Date--	-Time	Symbol	HighD	LowD	[VolOp]	SpdD	[PtChg	PtSpd	RocMa]	Price	 [Shr] 	20% 	 30% 	 45%
1200413	700	VXX	  42.31	  41.53	[6769]	   0.78	[4253.00	 -78.00	  -0.34]	  41.53	[482]	  41.69	  41.76	  41.88
1200413	700	TQQQ	  54.32	  53.30	[27336]	   1.02	[5519.00	-102.00	   0.07]	  54.19	[369]	  53.99	  53.88	  53.73
1200413	700	SPXL	  31.65	  31.05	[35937]	   0.60	[3263.00	 -60.00	   0.02]	  31.63	[632]	  31.51	  31.45	  31.36
1200413	700	UPRO	  33.47	  -1.00	[7451]	  34.47	[3443.00	-3447.00	   0.05]	  33.43	[598]	  26.54	  23.09	  17.92
1200413	700	URTY	  22.97	  -1.00	[2800]	  23.97	[2355.00	-2397.00	   0.71]	  22.55	[887]	  17.76	  15.36	  11.76
1200413	700	SQQQ	  16.16	  -1.00	[71176]	  17.16	[1690.00	-1716.00	   0.03]	  15.90	[1258]	  12.47	  10.75	   8.18
1200413	700	SPXS	  12.33	  -1.00	[83720]	  13.33	[1311.00	-1333.00	   0.05]	  12.11	[1652]	   9.44	   8.11	   6.11
1200413	700	SPXU	  18.64	  18.28	[43679]	   0.36	[1930.00	 -36.00	  -0.11]	  18.30	[1093]	  18.37	  18.41	  18.46
1200413	700	SRTY	  22.67	  22.14	[8203]	   0.53	[2340.00	 -53.00	  -0.50]	  22.40	[893]	  22.51	  22.56	  22.64

