iShares Global Energy ETF,,,,,,,,,,,,,,,,,
Fund Holdings as of,14-Jul-20,,,,,,,,,,,,,,,,
Inception Date,12-Nov-01,,,,,,,,,,,,,,,,
Shares Outstanding,"43,050,000.00",,,,,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,,,,
Other,-,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
OXY,OCCIDENTAL PETROLEUM CORP,Energy,Equity,"8,998,943.40",1.08,"8,998,943.40","539,505.00",674599105,US6745991058,2655408,16.68,United States,New York Stock Exchange Inc.,USD,1,-,USD
WPL,WOODSIDE PETROLEUM LTD,Energy,Equity,"8,547,580.17",1.02,"8,547,580.17","572,808.00",980228100,AU000000WPL2,6979728,14.92,Australia,Asx - All Markets,USD,1.44,-,AUD
PPL,PEMBINA PIPELINE CORP,Energy,Equity,"7,796,677.15",0.93,"7,796,677.15","313,548.00",706327103,CA7063271034,B4PT2P8,24.87,Canada,Toronto Stock Exchange,USD,1.36,-,CAD
HES,HESS CORP,Energy,Equity,"7,441,255.52",0.89,"7,441,255.52","156,724.00",42809H107,US42809H1077,2023748,47.48,United States,New York Stock Exchange Inc.,USD,1,-,USD
REP,REPSOL SA,Energy,Equity,"7,394,706.20",0.89,"7,394,706.20","812,387.00",S56693542,ES0173516115,5669354,9.1,Spain,Bolsa De Madrid,USD,0.88,-,EUR
OKE,ONEOK INC,Energy,Equity,"7,189,482.50",0.86,"7,189,482.50","264,125.00",682680103,US6826801036,2130109,27.22,United States,New York Stock Exchange Inc.,USD,1,-,USD
PBR,PETROLEO BRASILEIRO ADR REPTG SA,Energy,Equity,"7,082,037.22",0.85,"7,082,037.22","799,327.00",71654V408,US71654V4086,2616580,8.86,Brazil,New York Stock Exchange Inc.,USD,1,-,USD
5020,ENEOS HOLDINGS INC,Energy,Equity,"6,923,031.65",0.83,"6,923,031.65","1,938,720.00",-,JP3386450005,B627LW9,3.57,Japan,Tokyo Stock Exchange,USD,107.26,-,JPY
386,CHINA PETROLEUM AND CHEMICAL CORP,Energy,Equity,"6,622,340.24",0.79,"6,622,340.24","15,230,400.00",S62918198,CNE1000002Q2,6291819,0.43,China,Hong Kong Exchanges And Clearing Ltd,USD,7.75,-,HKD
HAL,HALLIBURTON,Energy,Equity,"6,575,674.56",0.79,"6,575,674.56","526,897.00",406216101,US4062161017,2405302,12.48,United States,New York Stock Exchange Inc.,USD,1,-,USD
BKR,BAKER HUGHES CLASS A,Energy,Equity,"6,121,381.80",0.73,"6,121,381.80","393,405.00",05722G100,US05722G1004,BDHLTQ5,15.56,United States,New York Stock Exchange Inc.,USD,1,-,USD
CXO,CONCHO RESOURCES INC,Energy,Equity,"5,963,505.44",0.71,"5,963,505.44","117,577.00",20605P101,US20605P1012,B1YWRK7,50.72,United States,New York Stock Exchange Inc.,USD,1,-,USD
ORG,ORIGIN ENERGY LTD,Energy,Equity,"4,229,261.66",0.51,"4,229,261.66","1,055,801.00",S62148614,AU000000ORG5,6214861,4.01,Australia,Asx - All Markets,USD,1.44,-,AUD
COG,CABOT OIL & GAS CORP,Energy,Equity,"4,150,423.52",0.5,"4,150,423.52","237,983.00",127097103,US1270971039,2162340,17.44,United States,New York Stock Exchange Inc.,USD,1,-,USD
STO,SANTOS LTD,Energy,Equity,"3,831,899.92",0.46,"3,831,899.92","1,057,782.00",S67767038,AU000000STO6,6776703,3.62,Australia,Asx - All Markets,USD,1.44,-,AUD
1605,INPEX CORP,Energy,Equity,"3,762,080.28",0.45,"3,762,080.28","648,300.00",-,JP3294460005,B10RB15,5.8,Japan,Tokyo Stock Exchange,USD,107.26,-,JPY
FANG,DIAMONDBACK ENERGY INC,Energy,Equity,"3,703,200.56",0.44,"3,703,200.56","94,277.00",25278X109,US25278X1090,B7Y8YR3,39.28,United States,NASDAQ,USD,1,-,USD
GALP,GALP ENERGIA SGPS SA,Energy,Equity,"3,293,335.84",0.39,"3,293,335.84","273,100.00",-,PTGAL0AM0009,B1FW751,12.06,Portugal,Nyse Euronext - Euronext Lisbon,USD,0.88,-,EUR
APA,APACHE CORP,Energy,Equity,"3,053,260.00",0.37,"3,053,260.00","226,000.00",37411105,US0374111054,2043962,13.51,United States,NASDAQ,USD,1,-,USD
OMV,OMV AG,Energy,Equity,"2,967,950.84",0.36,"2,967,950.84","87,146.00",S46514592,AT0000743059,4651459,34.06,Austria,Wiener Boerse Ag,USD,0.88,-,EUR
ALD,AMPOL LTD,Energy,Equity,"2,911,095.45",0.35,"2,911,095.45","149,453.00",-,AU0000088338,BM91201,19.48,Australia,Asx - All Markets,USD,1.44,-,AUD
NBL,NOBLE ENERGY INC,Energy,Equity,"2,774,160.00",0.33,"2,774,160.00","288,975.00",655044105,US6550441058,2640761,9.6,United States,NASDAQ,USD,1,-,USD
NOV,NATIONAL OILWELL VARCO INC,Energy,Equity,"2,683,699.74",0.32,"2,683,699.74","232,758.00",637071101,US6370711011,2624486,11.53,United States,New York Stock Exchange Inc.,USD,1,-,USD
